Feature,Importance_LGBM,Importance_CAT,Importance_Avg
project_quality_score,4.473684210526316,19.66265710237557,12.068170656450942
ft,2.956140350877193,13.398504680820588,8.177322515848891
all_score_mean,3.517543859649123,11.737454660672118,7.62749926016062
technical_interview_score,4.9035087719298245,7.328314054200794,6.115911413065309
communication_score,3.0877192982456143,2.8263927538242175,2.957056026034916
bert,2.0526315789473686,3.7432155717578928,2.897923575352631
target_role,3.1754385964912277,2.313481373531307,2.744459985011267
application_year,2.175438596491228,2.768768675552422,2.472103636021825
profile_mean,2.2017543859649122,2.47973946074488,2.340746923354896
interview_mean,2.2105263157894735,2.013000801337136,2.1117635585633048
graduation_year,1.2982456140350878,2.6288804529376293,1.9635630334863585
real_client_project_count,1.4649122807017543,2.308401015810664,1.886656648256209
portfolio_score,2.6491228070175437,1.0419348901803247,1.845528848598934
word,1.4385964912280702,2.2009962656983175,1.8197963784631939
github_total_stars,2.368421052631579,1.0890435160664673,1.7287322843490234
internship_duration_months,2.0,1.067056473749145,1.5335282368745724
problem_solving_score,2.1228070175438596,0.9243543451488331,1.5235806813463464
cgpa_minus_failed,1.9035087719298245,1.025471679909569,1.4644902259196968
university_tier_ord,1.5,1.4242474822434468,1.4621237411217234
total_activity,1.4649122807017543,1.3816986067723493,1.4233054437370518
english_exam_score,2.3421052631578947,0.5021735176765152,1.4221393904172048
applications_sent,1.9561403508771928,0.7875828628397266,1.3718616068584597
interview_gap,2.1052631578947367,0.6078466402281668,1.3565548990614518
char,1.4035087719298245,1.0425954038195833,1.223052087874704
github_avg_stars,1.8596491228070178,0.4843910174568206,1.1720200701319192
cgpa_x_attendance,1.7368421052631577,0.5867370083401251,1.1617895568016414
open_source_contribution_count,1.3947368421052633,0.8942831691937116,1.1445100056494875
hr_interview_score,1.9649122807017545,0.28023814652221923,1.1225752136119869
teamwork_score,1.7280701754385965,0.5009652388186173,1.114517707128607
linkedin_profile_score,1.8508771929824561,0.2926121127808372,1.0717446528816468
cloud_score,1.5,0.4616292831981931,0.9808146415990966
soft_mean,1.412280701754386,0.5271945188384047,0.9697376102963953
attendance_rate,1.307017543859649,0.4511143084942315,0.8790659261769402
cv_quality_score,1.4649122807017543,0.28520094048630923,0.8750566105940317
frontend_score,1.2982456140350878,0.4012703619614975,0.8497579879982926
soft_std,1.3333333333333335,0.363855585504974,0.8485944594191537
github_repo_count,0.9385964912280702,0.7323860791152393,0.8354912851716547
tech_std,1.2280701754385965,0.386787520449279,0.8074288479439378
avg_internship_len,1.3508771929824561,0.2566526271607612,0.8037649100716087
failed_courses_count,0.8859649122807017,0.6683493920195882,0.777157152150145
presentation_score,1.3771929824561404,0.16839646736954314,0.7727947249128417
leadership_score,1.2982456140350878,0.18928035428732465,0.7437629841612062
devops_score,1.2543859649122806,0.17541809866840494,0.7149020317903427
cgpa,1.0,0.4075854677588962,0.7037927338794481
backend_score,1.1140350877192982,0.2638301569589351,0.6889326223391166
coding_score,1.087719298245614,0.2829397198433402,0.6853295090444771
machine_learning_score,1.0087719298245614,0.3554524417762198,0.6821121858003907
interview_conv,1.1228070175438596,0.1786233468376248,0.6507151821907422
sql_score,1.087719298245614,0.2062017135743011,0.6469605059099576
data_structures_score,1.0701754385964912,0.15858394403241075,0.614379691314451
tech_min,0.9122807017543859,0.22241482853553757,0.5673477651449618
tech_max,0.7456140350877193,0.30779069829377514,0.5267023666907472
tech_mean,0.7017543859649122,0.3201178509662003,0.5109361184655563
hobby,0.9649122807017544,0.02853838769346776,0.49672533419761106
university_tier,0.2543859649122807,0.6084105240583383,0.4313982444853095
hackathon_winrate,0.5350877192982456,0.3267855319378525,0.430936625618049
bootcamp_count,0.4824561403508772,0.3315939704615053,0.40702505540619127
total_real_projects,0.5,0.30150684703301267,0.40075342351650634
interviews_attended,0.4736842105263158,0.31346394157432034,0.3935740760503181
hackathon_count,0.4473684210526315,0.22182240842443468,0.3345954147385331
preferred_social_media_platform,0.5350877192982456,0.03391671540463658,0.2845022173514411
certification_count,0.39473684210526316,0.14539691813327588,0.2700668801192695
department,0.5350877192982456,0.0,0.2675438596491228
age,0.2719298245614035,0.173201831894726,0.22256582822806475
internship_count,0.2894736842105263,0.11283518700782012,0.20115443560917323
age_at_grad,0.1929824561403509,0.028013108169997192,0.11049778215517404
hackathon_awards,0.10526315789473684,0.10916173093725252,0.10721244441599467
freelance_project_count,0.15789473684210525,0.04899395861475882,0.10344434772843203
years_since_grad,0.03508771929824561,0.043679280723457156,0.039383500010851384
hackathon_winrate_isna,0.0,0.04024102981082363,0.020120514905411814
avg_internship_len_isna,0.017543859649122806,0.0,0.008771929824561403
github_total_stars_isna,0.0,0.011198255387849666,0.005599127693924833
github_avg_stars_isna,0.0,0.007050399645313364,0.003525199822656682
interview_conv_isna,0.0,7.528594617889879e-05,3.7642973089449395e-05
english_exam_score_isna,0.0,0.0,0.0
interview_gap_isna,0.0,0.0,0.0
hr_interview_score_isna,0.0,0.0,0.0
internship_duration_months_isna,0.0,0.0,0.0
portfolio_score_isna,0.0,0.0,0.0
linkedin_profile_score_isna,0.0,0.0,0.0
open_source_contribution_count_isna,0.0,0.0,0.0
